,name,draft_year,prospect_gp,prospect_pim,prospect_pm,draft_round,pick_no,dob,birth_country,weight,shoots,prospect_category,amateur_league,amateur_team,200+games,birth_month,height_cm,translation_factor,eq_g,eq_a,eq_pts,oGVT,dGVT,overall_GVT,position_2
374,Adam Larsson,2011,37,41,12,1,4,1992-11-12,SWE,205,R,European Skater,SWEDEN,Skelleftea,1,11,190.5,0.62,1.12,8.95,10.06,-1.03,0.17,-0.86,D
375,Ryan Strome,2011,65,82,28,1,5,1993-07-11,CAN,192,R,North American Skater,OHL,Niagara,1,7,182.88,0.31,10.91,24.13,35.04,-0.16,0.06,-0.1,F
376,Mika Zibanejad,2011,55,16,1,1,6,1993-04-18,SWE,195,R,European Skater,SWEDEN,Djurgardens,1,4,187.96,0.62,15.48,11.62,27.1,-1.48,0.37,-1.1099999999999999,F
377,Mark Scheifele,2011,66,35,-22,1,7,1993-03-15,CAN,184,R,North American Skater,OHL,Barrie,1,3,187.96,0.31,7.02,16.92,23.94,-2.01,0.06,-1.9499999999999997,F
378,Sean Couturier,2011,58,36,55,1,8,1992-12-07,USA,197,L,North American Skater,QMJHL,Drummondville,1,12,190.5,0.25,10.4,17.34,27.74,-1.38,0.0,-1.38,F
379,Dougie Hamilton,2011,67,77,35,1,9,1993-06-17,CAN,205,R,North American Skater,OHL,Niagara,1,6,195.58,0.31,3.85,14.75,18.6,0.19,-0.92,-0.73,D
380,Jonas Brodin,2011,48,16,6,1,10,1993-07-12,SWE,181,L,European Skater,SWEDEN,Farjestad,1,7,185.42,0.62,0.0,5.37,5.37,-1.7,0.17,-1.53,D
381,Duncan Siemens,2011,72,121,40,1,11,1993-09-07,CAN,207,L,North American Skater,WHL,Saskatoon,0,9,190.5,0.28,1.36,10.34,11.71,-0.79,-1.02,-1.81,D
382,Ryan Murphy,2011,63,36,22,1,12,1993-03-31,CAN,183,R,North American Skater,OHL,Kitchener,0,3,180.34,0.31,8.74,17.82,26.56,1.33,-0.92,0.41000000000000003,D
383,Sven Baertschi,2011,66,74,23,1,13,1992-10-05,CHE,183,L,North American Skater,WHL,Portland,1,10,177.8,0.28,9.58,14.38,23.95,-2.01,0.03,-1.9799999999999998,F
384,Jamie Oleksiak,2011,38,57,15,1,14,1992-12-21,CAN,241,L,North American Skater,H-EAST,Northeastern U.,1,12,198.12,0.38,2.69,6.06,8.75,-1.21,-0.67,-1.88,D
385,J.T. Miller,2011,56,86,4,1,15,1993-03-14,USA,189,L,North American Skater,USHL,USA U-18,1,3,182.88,0.41,7.47,17.42,24.88,-1.85,0.16,-1.6900000000000002,F
386,Joel Armia,2011,52,30,9,1,16,1993-05-31,FIN,198,R,European Skater,FINLAND,Assat,1,5,193.04,0.46,10.99,8.55,19.54,-2.74,0.21,-2.5300000000000002,F
387,Nathan Beaulieu,2011,69,54,44,1,17,1992-12-05,CAN,186,L,North American Skater,QMJHL,Saint John,1,12,185.42,0.25,3.16,8.51,11.67,-0.8,-1.12,-1.9200000000000002,D
388,Mark McNeill,2011,70,53,-4,1,18,1993-02-22,CAN,214,R,North American Skater,WHL,Prince Albert,0,2,185.42,0.28,8.7,13.32,22.02,-2.33,0.03,-2.3000000000000003,F
389,Oscar Klefbom,2011,43,4,1,1,19,1993-07-20,SWE,201,L,European Skater,SWEDEN,Farjestad,1,7,193.04,0.62,4.02,5.02,9.03,-1.17,0.17,-0.9999999999999999,D
390,Connor Murphy,2011,33,16,6,1,20,1993-03-26,USA,203,R,North American Skater,USHL,USA U-18,1,3,193.04,0.41,7.64,4.25,11.89,-0.77,-0.57,-1.3399999999999999,D
391,Stefan Noesen,2011,68,80,14,1,21,1993-02-12,USA,187,R,North American Skater,OHL,Plymouth,1,2,182.88,0.31,10.49,13.27,23.76,-2.04,0.06,-1.98,F
392,Tyler Biggs,2011,75,202,8,1,22,1993-04-30,USA,221,R,North American Skater,USHL,USA U-18,0,4,187.96,0.41,9.76,6.0,15.76,-3.37,0.16,-3.21,F
393,Joe Morrow,2011,60,67,23,1,23,1992-12-09,CAN,207,L,North American Skater,WHL,Portland,0,12,185.42,0.28,2.82,12.52,15.34,-0.27,-1.02,-1.29,D
394,Matt Puempel,2011,55,49,-33,1,24,1993-01-24,CAN,205,L,North American Skater,OHL,Peterborough,0,1,185.42,0.31,12.97,13.35,26.32,-1.61,0.06,-1.55,F
395,Stuart Percy,2011,69,54,51,1,25,1993-05-18,CAN,194,L,North American Skater,OHL,Mississauga St. Michael's,0,5,185.42,0.31,1.24,10.23,11.48,-0.82,-0.92,-1.74,D
396,Phillip Danault,2011,64,59,17,1,26,1993-02-24,CAN,198,L,North American Skater,QMJHL,Victoriaville,1,2,185.42,0.25,6.11,11.68,17.79,-3.04,0.0,-3.04,F
397,Vladislav Namestnikov,2011,68,49,12,1,27,1992-11-22,RUS,178,L,North American Skater,OHL,London,1,11,182.88,0.31,9.17,11.62,20.79,-2.54,0.06,-2.48,F
398,Zack Phillips,2011,71,16,51,1,28,1992-10-28,CAN,175,R,North American Skater,QMJHL,Saint John,0,10,182.88,0.25,9.16,14.33,23.49,-2.08,0.0,-2.08,F
399,Nicklas Jensen,2011,61,42,14,1,29,1993-03-06,DNK,202,L,North American Skater,OHL,Oshawa,0,3,190.5,0.31,10.02,10.02,20.03,-2.66,0.06,-2.6,F
400,Rickard Rakell,2011,49,12,14,1,30,1993-05-05,SWE,199,R,North American Skater,OHL,Plymouth,1,5,185.42,0.31,8.69,10.86,19.55,-2.74,0.06,-2.68,F
401,David Musil,2011,62,83,1,2,31,1993-04-09,CAN,203,L,European Skater,WHL,Vancouver,0,4,190.5,0.28,1.85,5.87,7.71,-1.36,-1.02,-2.38,D
402,Ty Rattie,2011,67,55,20,2,32,1993-02-05,CAN,175,R,North American Skater,WHL,Portland,0,2,180.34,0.28,7.92,14.43,22.35,-2.27,0.03,-2.24,F
403,Rocco Grimaldi,2011,81,83,10,2,33,1993-02-08,USA,160,R,North American Skater,USHL,USA U-18,1,2,167.64,0.41,17.47,16.1,33.57,-0.4,0.16,-0.24000000000000002,F
404,Scott Mayfield,2011,52,159,-18,2,34,1992-10-14,USA,203,R,North American Skater,USHL,Youngstown,1,10,193.04,0.41,3.66,4.72,8.38,-1.27,-0.57,-1.8399999999999999,D
405,Tomas Jurco,2011,64,19,49,2,35,1992-12-28,SVK,191,L,North American Skater,QMJHL,Saint John,1,12,187.96,0.25,9.21,6.84,16.05,-3.32,0.0,-3.32,F
406,Adam Clendening,2011,39,80,8,2,36,1992-10-26,USA,187,R,North American Skater,H-EAST,Boston University,0,10,180.34,0.38,3.25,13.65,16.9,-0.05,-0.67,-0.7200000000000001,D
407,Boone Jenner,2011,63,57,10,2,37,1993-06-15,CAN,204,L,North American Skater,OHL,Oshawa,1,6,187.96,0.31,8.49,13.92,22.41,-2.26,0.06,-2.1999999999999997,F
408,Alexander Khokhlachev,2011,67,28,9,2,40,1993-09-09,RUS,196,L,North American Skater,OHL,Windsor,0,9,180.34,0.31,11.01,13.6,24.61,-1.9,0.06,-1.8399999999999999,F
409,Dmitrij Jaskin,2011,34,16,5,2,41,1993-03-23,CZE,222,L,European Skater,Czech Republic,Slavia,1,3,190.5,0.41,2.47,5.77,8.24,-4.63,0.16,-4.47,F
410,Victor Rask,2011,54,10,-5,2,42,1993-03-01,SWE,200,L,European Skater,SWEDEN-2,Leksand,1,3,187.96,0.62,9.37,14.83,24.2,-1.97,0.37,-1.6,F
411,Brandon Saad,2011,59,47,8,2,43,1992-10-27,USA,203,L,North American Skater,OHL,Saginaw,1,10,185.42,0.31,9.46,9.82,19.28,-2.79,0.06,-2.73,F
412,Brett Ritchie,2011,49,47,-1,2,44,1993-07-01,CAN,212,R,North American Skater,OHL,Sarnia,1,7,193.04,0.31,9.21,8.77,17.98,-3.0,0.06,-2.94,F
413,Markus Granlund,2011,48,55,8,2,45,1993-04-16,FIN,185,L,European Skater,Finland Jr.,HIFK Jr.,1,4,180.34,0.41,13.49,20.53,34.02,-0.33,0.16,-0.17,F
414,Joel Edmundson,2011,71,95,3,2,46,1993-06-28,CAN,208,L,North American Skater,WHL,Moose Jaw,1,6,193.04,0.28,0.54,4.92,5.46,-1.68,-1.02,-2.7,D
415,Matt Nieto,2011,39,16,-1,2,47,1992-11-05,USA,177,L,North American Skater,H-EAST,Boston University,1,11,180.34,0.38,6.5,8.45,14.95,-3.51,0.13,-3.38,F
416,Xavier Ouellet,2011,67,44,27,2,48,1993-07-29,FRA,194,L,North American Skater,QMJHL,Montreal,0,7,182.88,0.25,2.08,9.09,11.17,-0.87,-1.12,-1.9900000000000002,D
417,Johan Sundstrom,2011,65,16,-7,2,50,1992-09-21,SWE,200,R,European Skater,SWEDEN,Frolunda,0,9,190.5,0.62,7.6,5.7,13.3,-3.78,0.37,-3.4099999999999997,F
418,Alexander Ruuttu,2011,44,14,9,2,51,1992-12-09,USA,191,R,European Skater,Finland Jr.,Jokerit Jr.,0,12,187.96,0.41,11.87,8.75,20.62,-2.56,0.16,-2.4,F
419,Miikka Salomaki,2011,48,84,2,2,52,1993-03-09,FIN,205,L,European Skater,FINLAND,Karpat,0,3,180.34,0.46,3.25,4.56,7.82,-4.7,0.21,-4.49,F
420,William Karlsson,2011,63,57,0,2,53,1993-01-08,SWE,189,L,European Skater,SWEDEN-JR.,Vasteras Jr.,1,1,185.42,0.41,11.39,20.16,31.55,-0.74,0.16,-0.58,F
421,Scott Harrington,2011,67,51,-14,2,54,1993-03-10,CAN,203,L,North American Skater,OHL,London,1,3,185.42,0.31,1.88,5.03,6.92,-1.48,-0.92,-2.4,D
422,Ryan Sproul,2011,64,40,-15,2,55,1993-01-13,CAN,185,R,North American Skater,OHL,Sault Ste. Marie,0,1,190.5,0.31,4.9,6.85,11.75,-0.79,-0.92,-1.71,D
423,Lucas Lessio,2011,66,66,8,2,56,1993-01-23,CAN,205,L,North American Skater,OHL,Oshawa,0,1,185.42,0.31,8.59,8.59,17.16,-3.14,0.06,-3.08,F
424,Tyler Wotherspoon,2011,64,73,0,2,57,1993-03-12,CAN,209,L,North American Skater,WHL,Portland,0,3,187.96,0.28,0.59,2.97,3.56,-1.96,-1.02,-2.98,D
425,Nikita Kucherov,2011,50,81,39,2,58,1993-06-17,RUS,174,R,European Skater,RUSSIA-JR.,CSKA 2,1,6,180.34,0.41,15.34,18.75,34.1,-0.32,0.16,-0.16,F
426,Rasmus Bengtsson,2011,62,14,-5,2,59,1993-05-14,SWE,195,L,European Skater,SWEDEN-2,Rogle,0,5,187.96,0.62,2.06,6.87,8.93,-1.19,0.17,-1.02,D
427,Mario Lucia,2011,55,18,-3,2,60,1993-08-25,USA,186,L,North American Skater,HIGH-MN,Wayzata,0,8,187.96,0.41,19.83,15.13,34.96,-0.17,0.16,-0.010000000000000009,F
428,Shane Prince,2011,59,18,43,2,61,1992-11-16,USA,192,L,North American Skater,OHL,Ottawa,0,11,180.34,0.31,8.8,22.2,31.01,-0.83,0.06,-0.77,F
429,Andrei Pedan,2011,51,89,-11,3,63,1993-07-03,LTU,208,L,European Skater,OHL,Guelph,0,7,195.58,0.31,0.84,4.22,5.06,-1.74,-0.92,-2.66,D
430,Vincent Trocheck,2011,68,60,14,3,64,1993-07-11,USA,185,R,North American Skater,OHL,Saginaw,1,7,180.34,0.31,8.22,11.38,19.58,-2.74,0.06,-2.68,F
431,Joseph Cramarossa,2011,64,109,20,3,65,1992-10-26,CAN,192,L,North American Skater,OHL,Mississauga St. Michael's,0,10,182.88,0.31,3.88,6.46,10.34,-4.28,0.06,-4.220000000000001,F
432,T.J. Tynan,2011,44,36,19,3,66,1992-02-25,USA,165,R,North American Skater,CCHA,Notre Dame,0,2,172.72,0.32,9.31,12.55,21.85,-2.36,0.07,-2.29,F
433,Adam Lowry,2011,66,84,-21,3,67,1993-03-29,USA,203,L,North American Skater,WHL,Swift Current,1,3,195.58,0.28,5.22,7.83,13.04,-3.83,0.03,-3.8000000000000003,F
434,Nick Cousins,2011,68,56,-14,3,68,1993-07-20,CAN,177,L,North American Skater,OHL,Sault Ste. Marie,1,7,177.8,0.31,9.2,12.39,21.59,-2.4,0.06,-2.34,F
435,Michael Paliotta,2011,84,112,0,3,70,1993-04-06,USA,198,R,North American Skater,USHL,USA U-18,0,4,190.5,0.41,0.33,6.33,6.67,-1.51,-0.57,-2.08,D
436,Steven Fogarty,2011,52,24,-10,3,72,1993-04-19,USA,194,R,North American Skater,HIGH-MN,Edina H.S.,0,4,187.96,0.41,19.49,13.0,32.49,-0.58,0.16,-0.41999999999999993,F
437,Keegan Lowe,2011,71,123,33,3,73,1993-03-29,USA,196,L,North American Skater,WHL,Edmonton,0,3,185.42,0.28,0.54,5.92,6.46,-1.54,-1.02,-2.56,D
438,Travis Ewanyk,2011,72,126,-3,3,74,1993-03-29,CAN,183,L,North American Skater,WHL,Edmonton,0,3,185.42,0.28,4.26,2.92,7.17,-4.8,0.03,-4.77,F
439,Blake Coleman,2011,59,72,52,3,75,1991-11-28,USA,198,L,North American Skater,USHL,Indiana,1,11,177.8,0.41,12.8,21.83,34.64,-0.23,0.16,-0.07,F
440,Logan Shaw,2011,68,37,-18,3,76,1992-10-05,CAN,196,R,North American Skater,QMJHL,Cape Breton,1,10,193.04,0.25,6.35,4.89,11.24,-4.13,0.0,-4.13,F
441,Daniel Catenacci,2011,67,117,-5,3,77,1993-03-09,CAN,191,L,North American Skater,OHL,Sault Ste. Marie,0,3,175.26,0.31,8.18,14.15,22.33,-2.28,0.06,-2.2199999999999998,F
442,Brennan Serville,2011,36,29,0,3,78,1993-06-02,CAN,184,R,North American Skater,OJHL,Stouffville,0,6,187.96,0.41,2.36,21.22,23.59,0.91,-0.57,0.3400000000000001,D
443,Klas Dahlbeck,2011,55,14,7,3,79,1991-07-06,SWE,207,L,European Skater,SWEDEN,Linkoping,0,7,187.96,0.62,0.0,4.8,4.8,-1.78,0.17,-1.61,D
444,Andy Andreoff,2011,66,109,34,3,80,1991-05-17,CAN,198,L,North American Skater,OHL,Oshawa,0,5,182.88,0.31,8.25,10.5,18.74,-2.88,0.06,-2.82,F
445,Anthony Camara,2011,64,132,-9,3,81,1993-09-04,CAN,195,L,North American Skater,OHL,Saginaw,0,9,182.88,0.31,2.71,3.05,5.76,-5.04,0.06,-4.98,F
446,Nick Shore,2011,33,37,0,3,82,1992-09-26,USA,184,R,North American Skater,WCHA,U. of Denver,1,9,182.88,0.44,6.2,9.75,15.94,-3.34,0.19,-3.15,F
447,Andy Welinski,2011,54,14,10,3,83,1993-04-27,USA,192,R,North American Skater,USHL,Green Bay,0,4,187.96,0.41,3.65,4.17,7.82,-1.35,-0.57,-1.92,D
448,Harrison Ruopp,2011,54,98,8,3,84,1993-03-17,CAN,200,R,North American Skater,WHL,Prince Albert,0,3,187.96,0.28,0.0,3.19,3.19,-2.01,-1.02,-3.03,D
449,Alan Quine,2011,69,8,-36,3,85,1993-02-25,CAN,195,L,North American Skater,OHL,Belleville,0,2,180.34,0.31,7.94,8.24,16.19,-3.3,0.06,-3.2399999999999998,F
450,Alan Quine,2011,69,8,-36,3,85,1993-02-25,CAN,195,L,North American Skater,OHL,Belleville,0,2,180.34,0.31,7.94,8.24,16.19,-3.3,0.06,-3.2399999999999998,F
451,Alan Quine,2011,69,8,-36,6,166,1993-02-25,CAN,195,L,North American Skater,OHL,Belleville,0,2,180.34,0.31,7.94,8.24,16.19,-3.3,0.06,-3.2399999999999998,F
452,Alan Quine,2011,69,8,-36,6,166,1993-02-25,CAN,195,L,North American Skater,OHL,Belleville,0,2,180.34,0.31,7.94,8.24,16.19,-3.3,0.06,-3.2399999999999998,F
453,Josh Leivo,2011,64,37,-10,3,86,1993-05-26,CAN,195,R,North American Skater,OHL,Sudbury,1,5,185.42,0.31,4.35,5.68,10.03,-4.33,0.06,-4.2700000000000005,F
454,Jonathan Racine,2011,68,86,0,3,87,1993-05-28,CAN,195,L,North American Skater,QMJHL,Shawinigan,0,5,187.96,0.25,0.51,1.27,1.77,-2.21,-1.12,-3.33,D
455,Justin Sefton,2011,66,124,-8,3,89,1993-04-14,CAN,225,R,North American Skater,OHL,Sudbury,0,4,187.96,0.31,1.6,1.92,3.53,-1.96,-0.92,-2.88,D
456,Alexandre Grenier,2011,64,40,22,3,90,1991-09-05,CAN,194,R,North American Skater,QMJHL,Halifax,0,9,193.04,0.25,7.07,10.39,17.46,-3.09,0.0,-3.09,F
457,Kyle Rau,2011,55,37,4,3,91,1992-10-24,USA,163,L,North American Skater,HIGH-MN,Eden Prarie,0,10,172.72,0.41,26.35,24.37,50.73,2.45,0.16,2.6100000000000003,F
458,Dillon Simpson,2011,30,8,10,4,92,1993-02-10,CAN,192,L,North American Skater,WCHA,North Dakota,0,2,182.88,0.44,1.98,7.94,9.93,-1.05,-0.46,-1.51,D
459,Joachim Nermark,2011,56,22,-1,4,93,1993-05-12,SWE,196,L,European Skater,SWEDEN-JR.,Linkoping Jr.,0,5,185.42,0.41,4.52,11.06,15.59,-3.4,0.16,-3.2399999999999998,F
460,Josh Shalla,2011,68,62,24,4,94,1991-09-25,CAN,202,L,North American Skater,OHL,Saginaw,0,9,185.42,0.31,11.4,6.06,17.46,-3.09,0.06,-3.03,F
461,Robbie Russo,2011,84,38,7,4,95,1993-02-15,USA,186,R,North American Skater,USHL,USA U-18,0,2,180.34,0.41,1.32,10.57,11.89,-0.77,-0.57,-1.3399999999999999,D
462,Jean-Gabriel Pageau,2011,67,22,23,4,96,1992-11-11,CAN,171,R,North American Skater,QMJHL,Gatineau,1,11,177.8,0.25,7.97,11.7,19.67,-2.72,0.0,-2.72,F
463,Josiah Didier,2011,58,81,5,4,97,1993-04-08,USA,199,R,North American Skater,USHL,Cedar Rapids,0,4,187.96,0.41,3.86,6.28,10.14,-1.02,-0.57,-1.5899999999999999,D
464,Mike Reilly,2011,54,30,0,4,98,1993-07-13,USA,159,L,North American Skater,HIGH-MN,Shattuck-St. Mary's,1,7,180.34,0.41,7.37,17.89,25.25,1.14,-0.57,0.57,D
465,Reid Boucher,2011,81,48,6,4,99,1993-09-08,USA,194,L,North American Skater,USHL,USA U-18,0,9,180.34,0.41,16.3,9.92,26.22,-1.63,0.16,-1.47,F
466,Tom Nilsson,2011,51,36,1,4,100,1993-08-19,SWE,183,R,European Skater,SWEDEN-JR.,Mora Jr.,0,8,182.88,0.41,1.69,7.31,9.0,-1.18,-0.57,-1.75,D
467,Joseph LaBate,2011,33,44,0,4,101,1993-04-16,USA,190,L,North American Skater,HIGH-MN,Holy Angels,0,4,193.04,0.41,26.45,24.74,51.19,2.53,0.16,2.69,F
468,Yannick Veilleux,2011,68,40,-9,4,102,1993-02-22,CAN,200,L,North American Skater,QMJHL,Shawinigan,0,2,187.96,0.25,4.75,7.24,11.99,-4.0,0.0,-4.0,F
469,Gregory Hofmann,2011,43,4,-6,4,103,1992-11-13,CHE,200,L,European Skater,SWISS,Ambri,0,11,182.88,0.41,3.18,5.73,8.9,-4.52,0.16,-4.359999999999999,F
470,Johnny Gaudreau,2011,60,36,21,4,104,1993-08-13,USA,165,L,North American Skater,USHL,Dubuque,1,8,175.26,0.41,17.13,17.13,34.27,-0.29,0.16,-0.12999999999999998,F
471,Emil Molin,2011,45,62,42,4,105,1993-02-03,SWE,176,L,European Skater,SWEDEN-JR.,Brynas Jr.,0,2,182.88,0.41,19.12,31.46,50.57,2.43,0.16,2.5900000000000003,F
472,Michael St. Croix,2011,68,48,28,4,106,1993-04-10,CAN,178,R,North American Skater,WHL,Edmonton,0,4,180.34,0.28,7.59,13.5,21.1,-2.48,0.03,-2.45,F
473,Colin Jacobs,2011,68,69,-19,4,107,1993-01-20,USA,209,R,North American Skater,WHL,Seattle,0,1,187.96,0.28,6.13,6.13,12.26,-3.96,0.03,-3.93,F
474,Olivier Archambault,2011,65,28,-7,4,108,1993-02-16,CAN,190,L,North American Skater,QMJHL,Val d'Or,0,2,182.88,0.25,5.22,8.62,13.86,-3.69,0.0,-3.69,F
475,Maxim Shalunov,2011,45,42,11,4,109,1993-01-31,RUS,216,L,European Skater,RUSSIA-JR.,Chelyabinsk 2,0,1,193.04,0.41,13.57,9.25,22.82,-2.2,0.16,-2.04,F
476,Michael Mersch,2011,41,32,23,4,110,1992-10-02,USA,198,L,North American Skater,WCHA,U. of Wisconsin,0,10,187.96,0.44,5.7,7.84,13.54,-3.74,0.19,-3.5500000000000003,F
477,Kale Kessy,2011,65,129,5,4,111,1992-12-04,CAN,184,L,North American Skater,WHL,Medicine Hat,0,12,187.96,0.28,2.89,4.04,6.94,-4.84,0.03,-4.81,F
478,Garrett Noonan,2011,38,89,5,4,112,1991-01-28,USA,205,L,North American Skater,H-EAST,Boston University,0,1,182.88,0.38,2.13,5.85,7.98,-1.32,-0.67,-1.9900000000000002,D
479,Magnus Nygren,2011,58,14,-2,4,113,1990-06-07,SWE,191,R,European Skater,SWEDEN,Farjestad,0,6,185.42,0.62,5.11,9.67,14.79,-0.35,0.17,-0.17999999999999997,D
480,Tobias Rieder,2011,65,35,9,4,114,1993-01-10,DEU,197,L,North American Skater,OHL,Kitchener,1,1,180.34,0.31,7.39,8.35,15.74,-3.38,0.06,-3.32,F
481,Marek Tvrdon,2011,12,14,3,4,115,1993-01-31,SVK,220,L,European Skater,WHL,Vancouver,0,1,187.96,0.28,9.48,7.9,17.38,-3.1,0.03,-3.0700000000000003,F
482,Colin Suellentrop,2011,59,70,21,4,116,1993-06-10,USA,204,R,North American Skater,OHL,Oshawa,0,6,187.96,0.31,0.0,5.08,5.08,-1.74,-0.92,-2.66,D
483,Marcel Noebels,2011,66,23,-11,4,118,1992-03-14,DEU,199,L,North American Skater,WHL,Seattle,0,3,190.5,0.28,6.61,6.14,12.75,-3.88,0.03,-3.85,F
484,Zach Yuen,2011,72,65,41,4,119,1993-03-03,CAN,195,L,North American Skater,WHL,Tri-City,0,3,182.88,0.28,2.12,6.34,8.46,-1.26,-1.02,-2.2800000000000002,D
485,Ludwig Blomstrand,2011,44,18,9,4,120,1993-03-08,SWE,225,L,European Skater,SWEDEN-JR.,Djurgarden Jr.,0,3,187.96,0.41,3.17,9.5,12.67,-3.89,0.16,-3.73,F
486,Brian Ferlin,2011,55,26,26,4,121,1992-06-03,USA,201,R,North American Skater,USHL,Indiana,0,6,187.96,0.41,10.66,20.47,31.12,-0.81,0.16,-0.65,F
487,Martin Gernat,2011,45,66,26,5,122,1993-04-11,SVK,187,L,North American Skater,SLOVAKIA-JR.,Kosice Jr.,0,4,193.04,0.41,5.6,14.32,19.92,0.38,-0.57,-0.18999999999999995,D
488,Garrett Meurs,2011,68,61,7,5,123,1993-01-12,CAN,169,R,North American Skater,OHL,Plymouth,0,1,177.8,0.31,3.07,9.21,12.28,-3.95,0.06,-3.89,F
489,Yaroslav Kosov,2011,42,22,12,5,124,1993-07-05,RUS,209,L,European Skater,RUSSIA-JR.,Magnitogorsk 2,0,7,190.5,0.41,7.44,6.76,14.21,-3.63,0.16,-3.4699999999999998,F
490,John Persson,2011,68,34,37,5,125,1992-05-18,SWE,208,L,North American Skater,WHL,Red Deer,0,5,187.96,0.28,7.77,6.59,14.36,-3.61,0.03,-3.58,F
491,Fredrik Claesson,2011,58,37,4,5,126,1992-11-24,SWE,198,L,European Skater,SWEDEN,Djurgarden,0,11,182.88,0.62,2.86,2.86,5.74,-1.64,0.17,-1.47,D
492,Brenden Kichton,2011,64,31,55,5,127,1992-06-18,CAN,175,R,North American Skater,WHL,Spokane,0,6,177.8,0.28,5.8,14.63,20.44,0.46,-1.02,-0.56,D
493,Brenden Kichton,2011,64,31,55,5,127,1992-06-18,CAN,175,R,North American Skater,WHL,Spokane,0,6,177.8,0.28,5.8,14.63,20.44,0.46,-1.02,-0.56,D
494,Brenden Kichton,2011,64,31,55,7,190,1992-06-18,CAN,175,R,North American Skater,WHL,Spokane,0,6,177.8,0.28,5.8,14.63,20.44,0.46,-1.02,-0.56,D
495,Brenden Kichton,2011,64,31,55,7,190,1992-06-18,CAN,175,R,North American Skater,WHL,Spokane,0,6,177.8,0.28,5.8,14.63,20.44,0.46,-1.02,-0.56,D
496,Seth Ambroz,2011,56,89,3,5,128,1993-04-01,USA,209,R,North American Skater,USHL,Omaha,0,4,187.96,0.41,12.0,11.0,23.01,-2.17,0.16,-2.01,F
497,Blake Pietila,2011,84,73,-4,5,129,1993-02-20,USA,189,L,North American Skater,USHL,USA U-18,0,2,180.34,0.41,5.97,4.64,10.61,-4.23,0.16,-4.07,F
498,Tony Cameranesi,2011,49,44,0,5,130,1993-08-12,USA,194,R,North American Skater,HIGH-MN,Wayzata,0,8,177.8,0.41,18.65,33.22,51.87,2.64,0.16,2.8000000000000003,F
499,Nick Seeler,2011,43,70,0,5,131,1993-06-03,USA,184,L,North American Skater,HIGH-MN,Eden Prarie,1,6,185.42,0.41,6.58,22.37,28.96,1.67,-0.57,1.1,D
500,Sean Kuraly,2011,51,45,5,5,133,1993-01-20,USA,192,L,North American Skater,USHL,Indiana,1,1,187.96,0.41,4.35,11.43,15.78,-3.37,0.16,-3.21,F
501,Shane McColgan,2011,67,62,3,5,134,1993-01-01,USA,165,R,North American Skater,WHL,Kelowna,0,1,172.72,0.28,5.91,12.66,18.58,-2.9,0.03,-2.87,F
502,Troy Vance,2011,50,64,8,5,135,1993-08-02,USA,205,R,North American Skater,QMJHL,Victoriaville,0,8,195.58,0.25,1.04,4.88,5.92,-1.62,-1.12,-2.74,D
503,Samuel Noreau,2011,67,141,-13,5,136,1993-01-31,CAN,225,R,North American Skater,QMJHL,Baie Comeau,0,1,198.12,0.25,1.26,1.26,2.52,-2.1,-1.12,-3.22,D
504,Alex Lepkowski,2011,39,75,-3,5,137,1993-04-08,USA,210,L,North American Skater,OHL,Barrie,0,4,190.5,0.31,0.0,3.26,3.26,-2.0,-0.92,-2.92,D
505,Darren Dietz,2011,68,66,17,5,138,1993-07-17,CAN,208,R,North American Skater,WHL,Saskatoon,0,7,182.88,0.28,2.3,5.45,7.74,-1.36,-1.02,-2.38,D
506,Andrew Shaw,2011,70,151,19,5,139,1991-07-20,CAN,180,R,North American Skater,OHL,Owen Sound,1,7,177.8,0.31,5.65,8.72,14.37,-3.6,0.06,-3.54,F
507,Joel Lowry,2011,42,35,0,5,140,1991-11-15,USA,180,L,North American Skater,BCHL,Victoria,0,11,185.42,0.41,12.58,22.53,35.11,-0.15,0.16,0.010000000000000009,F
508,Darian Dziurzynski,2011,72,125,27,5,141,1991-03-30,CAN,208,L,North American Skater,WHL,Saskatoon,0,3,182.88,0.28,7.24,4.55,11.8,-4.03,0.03,-4.0,F
509,Simon Karlsson,2011,55,66,1,5,142,1993-07-23,SWE,185,R,North American Skater,SWEDEN-JR.,Malmo Jr.,0,7,187.96,0.41,6.76,11.42,18.18,0.13,-0.57,-0.43999999999999995,D
510,Max Friberg,2011,36,8,9,5,143,1992-11-20,SWE,200,R,European Skater,SWEDEN-3,Skovde,0,11,180.34,0.41,10.69,22.92,33.61,-0.4,0.16,-0.24000000000000002,F
511,Dominik Uher,2011,65,60,19,5,144,1992-12-31,CZE,202,L,North American Skater,WHL,Spokane,0,12,182.88,0.28,6.09,11.31,17.4,-3.1,0.03,-3.0700000000000003,F
512,Mattias Backman,2011,40,44,17,5,146,1992-10-03,SWE,176,L,European Skater,SWEDEN-JR.,Linkoping Jr.,0,10,187.96,0.41,2.04,13.62,15.66,-0.23,-0.57,-0.7999999999999999,D
513,Patrick Koudys,2011,31,14,-4,5,147,1992-11-15,CAN,198,L,North American Skater,ECAC,Rensselaer,0,11,187.96,0.41,0.89,1.76,2.65,-2.09,-0.57,-2.6599999999999997,D
